,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
129,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
130,,,,,,,1.4,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
131,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
132,,,,,,,1.3,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
133,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
134,,,,,,,1.8199999999999998,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
135,,"3/4""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,20,,,,,,20,3,3,관리소,A/2,60,,60,60,A/2,투과두께 : 5.5mm이하(XS) × 2(이중벽) = 11.0mm이하
136,,,,,,,1,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
137,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
138,,,,,,,1.4,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
139,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
140,,,,,,,1.3,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
141,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
142,,,,,,,1.8199999999999998,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
143,,"1/2""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,12,,,,,,12,3,3,관리소,A/2,36,,36,36,A/2,투과두께 : 5.5mm이하(XS) × 2(이중벽) = 11.0mm이하
144,,,,,,,1,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
145,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
146,,,,,,,1.4,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
147,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
148,,,,,,,1.3,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
149,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
150,,,,,,,1.8199999999999998,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
151,,"2½""이하-(1)",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,,,,,,,0,2,2,관리소,A/2,0,,0,0,A/2,
152,,,,,,,1,주배관,,,,,,,0,,2,주배관,A/2,0,,0,0,,
153,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,2,관리소,A/2,0,,0,0,,
154,,,,,,,1.4,주배관,,,,,,,0,,2,주배관,A/2,0,,0,0,,
155,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,2,관리소,A/2,0,,0,0,,
156,,,,,,,1.3,주배관,,,,,,,0,,2,주배관,A/2,0,,0,0,,
157,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,2,관리소,A/2,0,,0,0,,
158,,,,,,,1.8199999999999998,주배관,,,,,,,0,,2,주배관,A/2,0,,0,0,,
159,,"2½""이하-(2)",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,,,,,,,0,3,3,관리소,A/2,0,,0,0,A/2,
160,,,,,,,1,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
